amfi_code,scheme_name,n_mps,agg_current_value,fund_return_pct
147345,ICICI Prudential MNC Fund - Growth Option,10,16952457,10.0
125350,Axis Small Cap Fund - Regular Plan - Growth,8,3809135,13.6
101762,HDFC Flexi Cap Fund - Growth Plan,7,31398891,12.1
130502,HDFC Small Cap Fund - Growth Option,6,22343933,6.7
114564,Axis Midcap Fund - Regular Plan - Growth,6,10390713,13.2
107578,Mirae Asset Large Cap Fund - Growth Plan,5,11937960,6.3
106441,Kotak Global Emerging Market Overseas Equity Omni FOF- Growth,5,15681706,82.0
102885,SBI EQUITY HYBRID FUND - REGULAR PLAN -Growth,5,38534703,15.8
102414,SBI CONTRA FUND - REGULAR PLAN -GROWTH,4,18319690,2.3
134545,Nippon India Banking and PSU Fund- Growth Plan- Growth Option,4,1402908,12.5
105758,HDFC Mid Cap Fund - Growth Plan,4,10105858,15.8
135784,Mirae Asset ELSS Tax Saver Fund - Regular Plan - Growth,3,3361233,10.7
149366,HDFC Multi Cap Fund - Growth Option,3,3215147,3.1
143340,UTI Nifty Next 50 Index Fund - Regular Plan - Growth Option,3,4611298,-1.0
101979,HDFC ELSS Tax saver - Growth Plan,3,1065938,5.0
100177,quant Small Cap Fund - Growth - Regular Plan,3,104385,1.7
102875,Kotak-Small Cap Fund - Growth,3,2521214,3.9
125494,SBI Small Cap Fund - Regular Plan - Growth,3,1816676,1.1
112932,Mirae Asset Large & Midcap Fund - Regular Plan - Growth,3,2692207,8.8
100664,UTI Large & Mid Cap Fund - Regular Plan - Growth Option,3,1523948,13.1
112090,Kotak Flexicap Fund - Growth,3,5125479,4.6
113177,Nippon India Small Cap Fund - Growth Plan - Growth Option,3,3431321,8.2
101144,ICICI Prudential Multi-Asset Fund - Growth,3,11423126,20.0
106235,Nippon India Large Cap  Fund- Growth Plan -Growth Option,3,1773819,5.1
145899,ICICI Prudential India Opportunities Fund - IDCW Option,3,8058247,-5.5
100349,ICICI Prudential Large & Mid Cap Fund - Growth,3,2023768,11.9
100119,HDFC Balanced Advantage Fund - Growth Plan,3,2235188,3.0
108273,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,3,5681179,12.7
100868,HDFC Liquid Fund - Growth Plan,3,2261832,13.6
112323,Axis ELSS Tax Saver Fund - Regular Plan - Growth,3,3480239,5.8
102941,SBI MIDCAP FUND - REGULAR PLAN - GROWTH,3,21866256,7.1
143607,JM Low Duration Fund (Regular) - Growth Option,2,41847236,13.4
111569,BANDHAN ELSS Tax Saver Fund - Regular Plan - Growth,2,471299,3.6
116051,Union ELSS Tax Saver Fund - Growth Option,2,661952,4.8
125305,PGIM India Midcap Fund - Regular Plan - Growth Option,2,1337522,9.9
140225,Edelweiss Mid Cap Fund - Regular Plan - Growth Option,2,1044439,22.0
100669,UTI - Flexi Cap Fund-Growth Option,2,714687,5.8
135796,TATA Digital India Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option,2,1160639,-8.0
122640,Parag Parikh Flexi Cap Fund - Regular Plan - Growth,2,2108569,12.4
145210,TATA Small Cap Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option,2,1437767,-6.6
151110,HSBC Value Fund - Regular Growth,2,3786294,7.9
140172,Edelweiss Large & Mid Cap Fund - Regular Plan - Growth Option,2,2799967,11.0
131578,360 ONE Focused Fund -Regular Plan - Growth,2,95519,0.9
149886,SBI Multicap Fund- Regular Plan- Growth Option,2,1551699,12.2
102756,SBI FOCUSED FUND - REGULAR PLAN -GROWTH,2,4658182,21.5
150816,Canara Robeco Mid Cap Fund- Regular Plan- Growth Option,2,235782,15.4
151133,HSBC Small Cap Fund - Regular Growth,2,287657,3.9
130496,HDFC Large and Mid Cap Fund - Growth Option,2,1178896,5.5
152418,SBI Energy Opportunities Fund - Regular Plan - Growth,2,207455,-0.3
147760,Tata Focused Fund-Regular Plan-Growth,2,1370373,4.0
144333,Kotak Balanced Advantage Fund -Regular Plan - Growth Option,2,16636782,9.7
149472,SBI CPSE Bond Plus SDL Sep 2026 50:50 Index Fund - Regular Plan - Growth,2,7584808,14.5
134815,Mirae Asset Aggressive Hybrid Fund - Regular Plan - Growth,2,1350640,10.9
106231,SBI SHORT TERM DEBT FUND - REGULAR PLAN -GROWTH,2,7527123,13.3
102760,HDFC Focused Fund - GROWTH PLAN,2,1638630,10.4
100363,ICICI Prudential Technology Fund - Growth,2,626886,1.5
105000,Sundaram Large and Midcap Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),2,8140678,-8.5
141927,Axis Flexi Cap Fund - Regular Plan - Growth,2,2094593,7.2
128053,HDFC Credit Risk Debt Fund - Growth Option,2,3053771,14.6
151034,HSBC Midcap Fund - Regular Growth,2,1489078,23.2
102948,HDFC Hybrid Equity Fund - Growth Plan,2,3974974,0.1
103024,SBI LARGE & MIDCAP FUND- REGULAR PLAN -Growth,2,16204974,13.6
152439,Edelweiss Technology Fund - Regular Plan - Growth,2,727420,16.9
104685,ICICI Prudential Balanced Advantage Fund - Growth,2,8837353,14.3
103166,Aditya Birla Sun Life Flexi Cap Fund - Growth - Regular Plan,2,3932434,15.7
100520,Franklin India Flexi Cap Fund - Growth,2,25081292,2.6
151913,quant Manufacturing Fund - Growth Option - Regular Plan,1,252879,-2.4
109269,BANK OF INDIA Ultra Short Duration Fund- Regular Plan- Growth,1,1270865,12.7
105503,Invesco India Midcap Fund - Regular Plan - Growth Option,1,2754219,28.6
149116,Union Money Market Fund - Regular Plan -  Growth Option,1,1423554,12.7
150812,JM Midcap Fund (Regular) - Growth,1,492870,6.9
112359,BANK OF INDIA Manufacturing & Infrastructure Fund-Growth,1,152687,16.4
112092,Franklin Build India Fund Growth Plan,1,2838121,2.5
152411,Union Business Cycle Fund - Regular Plan - Growth Option,1,144795,1.1
149101,Mahindra Manulife Flexi Cap Fund - Regular Plan -Growth,1,350452,2.2
138308,PGIM India Large Cap Fund - Growth,1,117073,1.7
152027,HSBC Consumption Fund - Regular Growth,1,916486,11.5
111710,BANK OF INDIA ELSS Tax Saver -Regular Plan- Growth,1,44346,-4.9
147203,Mirae Asset Focused Fund Regular Plan Growth,1,1951838,3.9
148159,PGIM India Money Market Fund - Regular Plan - Growth Option,1,1076901,13.5
100313,LIC MF Flexi Cap Fund-Regular Plan-Growth,1,137222,4.9
147944,BANDHAN SMALL CAP FUND - REGULAR PLAN GROWTH,1,322819,24.8
100323,LIC MF Aggressive Hybrid Fund-Regular Plan-Growth,1,18138,6.5
100822,UTI Nifty 50 Index Fund - Regular Plan - Growth Option,1,2664087,3.5
103196,Nippon India ELSS Tax Saver Fund-Growth Plan-Growth Option,1,598534,6.9
140242,Edelweiss Greater China Equity Off-shore Fund - Regular Plan - Growth Option,1,5008648,90.1
149380,Mirae Asset Hang Seng TECH ETF Fund of Fund Regular Plan - Growth Option,1,2688265,69.1
145112,Axis Large & Mid Cap Fund - Regular Plan - Growth,1,491298,11.1
102394,UTI Mid Cap Fund-Growth Option,1,785876,8.8
151821,Canara Robeco Multi Cap Fund - Regular Plan - Growth Option,1,1806326,8.4
106170,quant Infrastructure Fund - Growth Option,1,25579,-8.2
100851,Nippon India Liquid Fund -Growth Plan,1,2271,13.5
145551,Motilal Oswal Nasdaq 100 Fund of Fund- Regular Plan Growth,1,2822,116.6
149341,Edelweiss NIFTY Large Midcap 250 Index Fund - Regular Plan Growth,1,1840067,7.0
146771,HSBC Large & Mid Cap Fund - Regular Growth,1,5091781,12.2
106317,Invesco India Balanced Advantage Fund - Regular Plan - Growth,1,3166201,3.3
108378,Invesco India Financial Services Fund - Regular Plan - Growth,1,3330458,20.4
150185,BARODA BNP PARIBAS LARGE CAP Fund- Regular Plan - Growth Option,1,1713244,2.1
146207,SBI Corporate Bond Fund - Regular Plan - Growth,1,904755,13.1
106823,ICICI Prudential Smallcap Fund - Growth,1,96979,3.8
148989,ICICI Prudential Flexicap Fund - Growth,1,225976,11.0
150684,ICICI PRUDENTIAL TRANSPORTATION AND LOGISTICS FUND - Growth,1,121803,13.8
148517,ICICI Prudential ESG Exclusionary Strategy Fund - Growth,1,653959,8.3
101824,Tata Large & Mid Cap Fund- Regular Plan - Growth Option,1,534526,-3.3
152136,Helios Flexi Cap Fund - Regular Plan - Growth Option,1,16605,10.7
145946,Motilal Oswal Liquid Fund - Regular Growth,1,3376,12.5
146644,SBI Equity Minimum Variance Fund - Regular Plan - Growth,1,259541,5.4
151900,HDFC Transportation and Logistics Fund - Growth Option,1,13481,13.2
120576,SBI CONSUMPTION OPPORTUNITIES FUND - REGULAR - GROWTH,1,235086,-2.0
102765,SBI Focused Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),1,262424,21.5
118232,Invesco India Banking and PSU Fund - Regular Plan - Growth Option,1,107947,12.4
148416,Mirae Asset Banking and PSU Fund - Regular Plan - Growth,1,109726,12.0
129006,Franklin India Banking & PSU Debt Fund - Growth,1,204855,14.4
152167,Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW,1,15594,4.0
102395,UTI Infrastructure Fund-Growth Option,1,990606,-1.5
151725,HDFC NIFTY Midcap 150 Index Fund - Growth Option,1,1347251,12.3
100064,Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,1,119932,-2.3
146127,CANARA ROBECO SMALL CAP FUND - REGULAR PLAN - GROWTH OPTION,1,155411,4.6
144544,TATA Flexi Cap Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option,1,661129,8.6
108909,Bandhan Value Fund - Regular Plan - Growth,1,152439,1.3
136113,ICICI Prudential Equity & Debt Fund - Annual IDCW,1,1153710,-5.1
152205,Axis India Manufacturing Fund - Regular Plan - Growth,1,1266363,10.9
151235,Tata Multicap Fund - Regular Plan - Growth,1,1352500,6.4
151212,SBI Long Duration Fund - Regular Plan - Growth,1,11957997,7.1
152196,Bajaj Finserv Balanced Advantage Fund-Regular Plan-Growth,1,1066615,2.5
151289,HSBC Multi Cap Fund - Regular - Growth,1,1708347,9.6
118678,Nippon India Vision Large & Mid Cap Fund - Direct Plan Growth Plan - Growth Option,1,596553,10.6
103159,Tata Treasury Advantage Fund - Regular Plan - Growth Option,1,592306,13.5
120577,SBI TECHNOLOGY OPPORTUNITIES FUND - REGULAR PLAN - GROWTH,1,5744454,7.6
133858,SBI BANKING & FINANCIAL SERVICES FUND - REGULAR PLAN - GROWTH,1,504064,17.5
148610,HDFC Dividend Yield Fund - Growth Plan,1,1634652,1.4
133866,NIPPON INDIA ELSS TAX SAVER FUND - ANNUAL IDCW Option,1,267428,-7.7
136090,HDFC Retirement Savings Fund - Equity Plan - Growth Option,1,2243788,1.1
101525,HDFC Nifty 50 Index Fund - Growth Plan,1,1011634,3.3
152106,Motilal Oswal Nifty 500 ETF,1,205458,5.4
103085,Nippon India Value Fund- Growth Plan,1,9883,4.8
142035,Union Balanced Advantage Fund - Regular Plan - Growth Option,1,2273343,3.9
135790,TATA Banking & Financial Services Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option,1,175630,11.5
103819,DSP Large & Mid Cap Fund - Regular Plan - Growth,1,292850,6.7
114931,Mirae Asset Great Consumer Fund - Regular Plan - Growth option,1,739636,4.2
100684,UTI Aggressive Hybrid Fund - Regular Plan - Growth,1,619940,8.5
151124,HSBC Aggressive Hybrid Fund - Regular Annual IDCW,1,395563,-10.1
148160,PGIM India Money Market Fund - Regular Plan - Daily Dividend Option,1,3,0.2
151729,HDFC BSE 500 Index Fund - Regular Plan - Growth Option,1,973349,2.9
149599,Sundaram Aggressive Hybrid Fund (Formerly Known as Principal Hybrid Equity Fund)-Growth,1,1735050,5.2
102020,Baroda BNP Paribas MULTI CAP FUND - Regular Plan - Growth Option,1,325139,6.9
100356,ICICI Prudential Equity & Debt Fund - Growth,1,3630211,12.6
100078,DSP Bond Fund - Growth,1,720833,12.9
150260,Baroda BNP Paribas Aggressive Hybrid Fund- DIRECT PLAN - GROWTH OPTION,1,3290330,9.2
103145,SBI COMMA Fund - REGULAR PLAN - Growth,1,617588,16.4
141224,Mahindra Manulife Multi Cap Fund - Regular Plan - Growth,1,1127461,9.7
148571,Mahindra Manulife Focused Fund - Regular Plan - Growth,1,984715,4.6
135321,UTI BSE Sensex ETF,1,15306,0.6
121109,SBI BSE SENSEX ETF,1,70714,0.6
104481,DSP Midcap Fund - Regular Plan - Growth,1,17311672,11.7
101993,HDFC Money Market Fund - Growth Option,1,4717199,14.0
117560,Axis Focused Fund - Regular Plan - Growth Option,1,1663051,2.0
100299,Kotak Bond Fund - Regular Plan Growth,1,32780962,9.6
151048,HSBC Money Market Fund - Regular Growth,1,5863232,13.8
147477,Kotak Focused Fund- Regular plan _ Growth Option,1,11536127,11.8
133805,Kotak Low Duration Fund- Regular Plan-Growth Option,1,26876367,13.1
101893,Kotak Money Market Fund - (Growth),1,2357861,14.0
101228,ICICI Prudential Multicap Fund - Growth,1,97627,16.2
147213,Franklin India Overnight fund- Growth,1,85429,11.9
114239,ICICI Prudential Credit Risk Fund - Growth,1,6713643,16.5
102594,ICICI Prudential Value Fund (erstwhile Value Discovery Fund) - Growth,1,16746981,11.2
109522,JM Flexicap Fund (Regular) - Growth option,1,21537900,-4.1
101232,Franklin India Short-Term Income Plan-Growth,1,28850,192.1
105460,Invesco India Contra Fund - Regular Plan - Growth,1,5998008,6.0
103504,SBI Large Cap FUND-REGULAR PLAN GROWTH,1,136814,8.1
103098,UTI Value Fund - Regular Plan - Growth Option,1,459815,7.4
102272,SBI NIFTY INDEX FUND - REGULAR PLAN - GROWTH,1,754417,3.1
150503,Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,1,3345248,11.7
108594,BANDHAN Flexi Cap Fund - Regular Plan - Growth,1,128289,6.5
149795,TRUST MF OVERNIGHT FUND-REGULAR-GROWTH,1,3262780,11.8
104636,Invesco India ELSS Tax Saver Fund - Regular Plan - Growth,1,450772,1.8
149896,Axis Nifty Smallcap 50 Index Fund - Regular Plan - Growth Option,1,429878,10.3
104637,Nippon India Focused Fund -Growth Plan -Growth Option,1,198336,9.0
147936,BANK OF INDIA Overnight Fund Regular Plan Growth,1,168695,12.4
146682,Axis Overnight Fund - Regular Plan - Daily IDCW,1,106157,0.0
145830,NIPPON INDIA OVERNIGHT FUND - DAILY IDCW Option,1,106388,0.0
151973,LIC MF Gold ETF Fund of Fund-Regular Plan-Growth,1,144091,113.1
149182,Kotak Multicap Fund-Regular Plan-Growth,1,171593,10.2
148409,HSBC Focused Fund - Regular Growth,1,64846,12.5
100651,UTI Large Cap Fund - Regular Plan - Growth Option,1,72228,2.2
113070,HDFC Corporate Bond Fund - Growth Option,1,7757987,12.5
102053,SBI MEDIUM DURATION FUND - REGULAR PLAN - GROWTH,1,5225087,13.5
105804,Aditya Birla Sun Life Small Cap Fund - GROWTH,1,1721089,12.6
111957,ICICI Prudential Focused Equity Fund - Growth,1,6246618,13.6
111987,ICICI Prudential Corporate Bond Fund - Growth,1,17766582,13.8
148382,Motilal Oswal S&P 500 Index Fund - Regular Plan Growth,1,16160,61.6
149089,Nippon India Flexi Cap Fund - Regular Plan - Growth Plan - Growth Option,1,10135,1.3
131357,BANDHAN Balanced Advantage Fund Regular Plan Growth,1,5357848,9.4
102147,HDFC Hybrid Debt Fund - Growth Plan,1,8457594,7.0
133801,Kotak Infrastructure & Economic Reform Fund- Direct Plan- Growth Option,1,296785,0.9
101862,Nippon India Banking & Financial Services Fund-Growth Plan-Growth Option,1,1112632,14.9
103168,Aditya Birla Sun Life Digital India Fund - Growth - Regular Plan,1,117993,-2.9
103215,SBI Flexicap Fund - REGULAR PLAN -Growth Option,1,1134604,2.6
107745,Aditya Birla Sun Life ELSS Tax Saver Fund - Growth Option,1,729958,7.3
115676,SBI GOLD FUND REGULAR PLAN - GROWTH,1,709400,114.3
105989,DSP Small Cap Fund - Regular - Growth,1,1178183,21.6
147846,Aditya Birla Sun Life PSU Equity Fund-Regular Plan-Growth,1,270619,-2.8
125595,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,1,207105,11.8
100175,quant ELSS Tax Saver Fund - Growth Option - Regular Plan,1,143613,-2.8
105817,Franklin India Focused Equity Fund - Growth Plan,1,1387941,-1.0
148557,Edelweiss MSCI India Domestic & World Healthcare 45 index Fund Regular Plan - Growth,1,649847,29.7
150480,Franklin India Balanced Advantage Fund- Growth,1,802508,6.0
149132,SBI Balanced Advantage Fund - Regular Plan - Growth,1,830859,10.0
100526,Franklin India ELSS Tax Saver Fund-Growth,1,927395,0.9
149266,NJ Balanced Advantage Fund - Regular Plan - Growth Option,1,1359616,1.4
